Id,Nome,Name,Descrição,Description,Price,Drop chance,Power,Elem
0,pêlo,fur,-,-,5,60,0,neutral
1,asas,wings,-,-,7,60,0,neutral
2,noz,nut,-,-,10,60,2,neutral
3,couro,leather,-,-,12,60,0,neutral
4,pedra,rock,-,-,15,60,3,neutral
5,pedra estranhamente redonda,strangely round rock,-,-,18,60,4,neutral
6,esporos,spores,-,-,5,60,0,neutral
7,gosma,slime,-,-,7,60,0,neutral
8,folha,leaf,-,-,10,60,0,neutral
9,casca,shell,-,-,12,60,0,neutral
10,ambrosia,ambrosia,-,-,15,60,0,neutral
11,samambaia,fern,-,-,18,60,0,neutral
12,hedera,ivy,-,-,20,60,0,neutral
13,folha de maple,maple leaf,-,-,5,60,0,neutral
14,tulsi,tulsi,-,-,7,60,0,neutral
15,orquídea,orchid,-,-,10,60,0,neutral
16,violeta,violet,-,-,12,60,0,neutral
17,espinho preto,black haw,-,-,15,60,3,neutral
18,orvalho,dew,-,-,18,60,0,neutral
19,lilás,lilac,-,-,5,60,0,neutral
20,flor,flower,-,-,7,60,0,neutral
21,fogueira,campfire,recupera vida com o tempo,heals life over time,10,60,0,neutral
22,antídoto,antidote,para veneno,stops poison,12,60,0,neutral
23,bandaid,bandaid,recupera vida,heals life,15,60,0,neutral
24,megafone,megaphone,-,-,18,60,0,neutral
25,minhoca,worms,aumenta chance de pesca (usada automagicamente),increases fishing chance (consumed automagically),20,60,0,neutral
26,garrafa pequena,little bottle,pode ser enchida com água,can be filled with water,5,60,0,neutral
27,garrafa média,medium bottle,pode ser enchida com água,can be filled with water,7,60,0,neutral
28,garrafa grande,big bottle,pode ser enchida com água,can be filled with water,10,60,0,neutral
29,garrafa pequena de água,little water bottle,-,-,12,60,0,neutral
30,garrafa média de água,medium water bottle,-,-,15,60,0,neutral
31,garrafa grande de água,big water bottle,-,-,18,60,0,neutral
32,arame,wire,-,-,20,60,0,neutral
33,pedra pesada,heavy rock,-,-,25,60,7,neutral
34,corrente fina,thin chain,-,-,30,60,0,neutral
35,seda animal,animal silk,-,-,35,60,0,neutral
36,pá,shovel,-,-,40,60,5,neutral
37,escada,ladder,permite entrar e sair da caverna,allows to go in and out of the cave,45,60,0,neutral
38,tenda,tent,-,-,50,60,0,neutral
39,corda,rope,permite entrar e sair da caverna (consumível). Leve pelo menos duas,allows to go in and out of the cave (consumable). Bring at least 2,55,60,0,neutral
40,vara de pescar,fishing rod,permite pescar, allows fishing,60,60,0,neutral
41,casca sardenta,freckly shell,-,-,65,60,0,neutral
42,carteira,wallet,-,-,70,60,0,neutral
43,animal que late,barking animal,-,-,75,60,0,neutral
44,cipó,vine,-,-,80,60,0,neutral
45,perna de inseto,insect leg,-,-,85,60,0,neutral
46,galhos,branches,-,-,90,60,2,neutral
47,bola de pêlos,fur ball,-,-,95,60,0,neutral
48,lentes refletivas,reflective lens,-,-,100,60,0,neutral
49,mola,spring,-,-,105,60,0,neutral
50,tecla de piano,piano key,-,-,110,60,0,neutral
51,braço peludo,furry arm,-,-,115,60,0,neutral
52,caulo seco,dry stalk,-,-,120,60,0,neutral
53,telescópio,telescope,-,-,125,60,0,neutral
54,asas de morcego,bat wings,-,-,130,60,0,neutral
55,olhos brilhantes,shiny eyes,-,-,135,60,0,neutral
56,ovo pequeno,small egg,-,-,140,60,0,neutral
57,ovo pontudo,edgy egg,-,-,145,60,0,neutral
58,espírito frenético,frenetic spirit,-,-,150,60,0,neutral
59,pepita de ouro,gold nugget,-,-,500,10,0,neutral
60,diamante,diamond,-,-,5000,1,0,neutral
61,grafeno,graphene,-,-,165,60,0,neutral
62,corda dourada,golden string,-,-,170,60,0,neutral
63,pena colorida,colorful feather,-,-,175,60,0,neutral
64,esporo venenoso,poisonous spore,causa envenenamento,causes poison,180,60,10,neutral
65,escama cortante,cutting scale,causa sangramento,causes blood,185,60,10,neutral
66,escama protetora,protective scale,causa bloqueio,causes block,190,60,10,neutral
67,tábua atordoante,stunning planck,causa atordoamento,causes stun,195,60,10,neutral
68,chifre,horn,-,-,200,60,0,neutral
69,zípper silenciador,silencing zipper,causa silêncio,causes silence,205,60,10,neutral
70,mordaça,gag,causa silêncio,causes silence,210,60,20,neutral
71,madeira com pregos,nailled wood,causa atordoamento,causes stun,215,60,20,neutral
72,seringa,syringe,-,-,220,60,0,neutral
73,seringa envenenada,poison syringe,causa envenenamento,causes poison,225,60,20,neutral
74,cogumelo alucinógeno,hallucinogenic mushroom,deixa alucinado,causes hallucinations,230,60,0,neutral
75,casco robusto,sturdy shell,causa bloqueio,causes block,235,60,20,neutral
76,copo vazio,empty glass,Mas sem espaço para especulações filosóficas,But without enough space for philosophical wondering,240,60,0,neutral
77,óculos de sol,sunglasses,-,-,245,60,0,neutral
78,copo com veneno,poison glass,causa envenenamento,causes poison,250,60,20,neutral
79,pequena dose de adrenalina,little adrenaline dose,aumenta a velocidade de ataque,increases attack speed,255,60,0,neutral
80,pedra energizada,energetic stone,aumenta chance de refino de armas (usada automagicamente),increases the chance of forging weapons (consumed automagically),260,60,0,neutral
81,fluido viscoso,viscous fluid,para o sangramento,stops blood,265,60,0,neutral
82,calmante,sedative,para o sangramento e reduz a velocidade de ataque,stops blood and reduces attack speed,270,60,0,neutral
83,seringa com adrenalina,adrenaline syringe,aumenta a velocidade de ataque,increases attack speed,275,60,0,neutral
84,engrossador de sangue,blood thickening,para o sangramento,stops blood,280,60,0,neutral
85,elástico,elastic,-,-,285,60,0,neutral
86,binóculos,binoculars,aumenta dex,increases dex,290,60,0,neutral
87,óculos de alta precisão,high-precision glasses,aumenta dex,increases dex,295,60,0,neutral
88,cachimbo,smoking pipe,-,-,300,60,0,neutral
89,poção mágica,magic potion,aumenta ataque e defesa mágicos,increases magical attack and defense,305,60,0,neutral
90,pó cintilante,sparkling dust,aumenta chance de refino de armas especiais (usado automagicamente),increases the chance of forging special weapons (consumed automagically),310,60,0,neutral
