ID,Nome,Name,Descrição,Description,Price,Drop chance
0,casca rígida,rigid shell,-,-,5,20
1,beira cortante,cutting edge,-,-,10,20
2,madeira dura,harden wood,-,-,15,20
3,resina,resin,-,-,20,20
4,base fixa,fixed base,-,-,25,20
5,memória de criança,childhood memory,-,-,30,20
6,espírito de luta,fighting spirit,-,-,35,20
7,curiosidade selvagem,wild curiosity,-,-,40,20
8,ousadia encorajadora,encouraging boldness,-,-,45,20
9,mente brincalhona,playful mind,-,-,50,20
10,coração valente,brave heart,-,-,55,20
11,voz ousada,bold voice,-,-,60,20
12,impulso impetuoso,impetuous impulse,-,-,65,20
13,gesto feroz,fierce gesture,-,-,70,20
14,vontade ardente,fiery will,-,-,75,20
15,prova de coragem,proof of courage,-,-,0,0
16,prova de honra,proof of honor,-,-,0,0
17,prova de lealdade,proof of loyalty,-,-,0,0
18,orbe do mestre lorde,orb of the master lord,-,-,0,0
19,prova de valor,proof of worthness,-,-,0,0
20,prova de bondade,proof of benignity,-,-,0,0
21,orbe do mestre escudeiro,orb of the master shielder,-,-,0,0
22,prova de mágica,proof of magic,-,-,0,0
23,prova de sabedoria,proof of wisdom,-,-,0,0
24,prova de conhecimento,proof of knowledge,-,-,0,0
25,orbe do mestre arquimago,orb of the master archmage,-,-,0,0
26,prova de reabastecimento,proof of replenishment,-,-,0,0
27,prova de pureza,proof of purity,-,-,0,0
28,orbe do mestre curandeiro,orb of the master healer,-,-,0,0
29,prova de determinação,proof of determination,-,-,0,0
30,prova de destreza,proof of dexterity,-,-,0,0
31,prova de energia,proof of energy,-,-,0,0
32,orbe do mestre ranger,orb of the master ranger,-,-,0,0
33,prova de simplicidade,proof of simplicity,-,-,0,0
34,prova de química,proof of chemistry,-,-,0,0
35,orbe do mestre elementalista,orb of the master elementalist,-,-,0,0
36,prova de natureza,proof of nature,-,-,0,0
37,prova de paz,proof of peace,-,-,0,0
38,prova de equilíbrio,proof of equilibrum,-,-,0,0
39,orbe do mestre rei da floresta,orb of the master king of the forest,-,-,0,0
40,prova de selvageria,proof of wildness,-,-,0,0
41,prova de harmonia,proof of harmony,-,-,0,0
42,orbe do mestre selvagem,orb of the master wild,-,-,0,0
43,prova de crime,proof of crime,-,-,0,0
44,prova de dinheiro,proof of money,-,-,0,0
45,prova de ambição,proof of ambition,-,-,0,0
46,orbe do mestre mercenário,orb of the master mercenary,-,-,0,0
47,prova de poder,proof of power,-,-,0,0
48,prova de agilidade,proof of agility,-,-,0,0
49,orbe do mestre ágil,orb of the master agile,-,-,0,0
